source,target,DA_score,chrF_score,MAKTS_score
Ол билік органдарын адам құқықтарын көтеру мен дамуға көмектесудегі маңызды рөлін ескере отырып қоғамдық бірлестіктердің құрылуына жәрдем беуге шақырады.,"Ол билік органдарын қоғамдық бірлестіктердің адам құқықтарын ілгерілетудегі және дамуға жәрдемдесудегі ерекше маңызды рөлін ескере отырып, олардың құрылуына бастамашылықпен жәрдемдесуге шақырады.",50.6,0.7090654222891207,0.7090654222891207
Қазақстан Президенті ел мен қоғамды одан әрі дамытуда цифрландыру процесінің маңыздылығын атап өтті.,Қазақстан Президенті цифрландыру үдерісінің ел мен қоғамды одан әрі дамытудағы маңыздылығын атап өтті.,82.29,0.8228394361689141,0.8228394361689141
Мен үшін Бэнксидің көше граффитилерін іздеу өзіндік бір ермек болды.,Бэнксидің көше граффитилерін іздеу мен үшін ойын-сауықтың бір түрі болды.,70.26,0.6460794638211866,0.6460794638211866
Тәжірибе барысында күнде сурет түсіріп жүрдім.,Тәжірибе барысында мен күн сайын суретке түсіретінмін.,62.93,0.5277338981232916,0.5277338981232916
2015 жылы Рональдиньо мен оның ағасына тыйым салынған жерде қойма және балық аулау платформасының заңсыз құрылысын жүргізгені үшін айыппұл салынды.,2015 жылы Роналдиньо мен оның ағасына тыйым салынған жерде қойма мен балық аулау алаңын заңсыз салғаны үшін айыппұл салынды.,38.58,0.6620677259002271,0.6620677259002271
Алынған шаралардың нәтижесі 2050 жылға қарай ел ІЖӨ-дегі ауылшаруашылық өнімінің үлесі 5 есе артуы болуы тиіс.,Қабылданған шаралардың нәтижесі 2050 жылға қарай елдің ЖІӨ-дегі ауыл шаруашылығы өнімдерінің үлесін 5 есеге арттыру болуы тиіс.,38.58,0.7485332156990139,0.7485332156990139
Бала скейтборд пандусында скейтборд тебеді.,Бала скейтборд пандусында скейтбордпен сырғанап жүр.,33.19,0.7820433452305076,0.7820433452305076
Сотқа дейінгі тергеп-тексеру деректерінің құпиялығын сақтау тәртібі осы Кодекстің 201-бабында айқындалады.,Сотқа дейінгі тергеп-тексеру деректерінің құпиялылығын сақтау тәртібі осы Кодекстің 201-бабында айқындалады.,77.64,0.9848763596310193,0.9848763596310193
Бұл жерге XIV ғасырда атақты саяхатшы Ибн Баттута келген.,Бұл жерге XIV ғасырда атақты саяхатшы Ибн Баттута барған.,63.06,0.8595337726284601,0.8595337726284601
Квазимемлекеттік компаниялар көп жағдайда өзара бәсекеге түседі.,Квазимемлекеттік компаниялар көбінесе бір салада өзара бәсекелеседі.,68.94,0.7079841783611791,0.7079841783611791
АҚШ-тағы қаржы магнаттарының соңғы отыз жыл ішінде үкімет саясатына қаншалық ықпал еткендігі осының жарқын мысалы бола алады.,Мұның айқын мысалы - соңғы үш онжылдықтағы қаржы магнаттарының Америка үкіметінің саясатына даусыз ықпалы.,31.13,0.46654545334216313,0.46654545334216313
Семейде серозды менингит диагнозымен инфекциялық ауруханаға 4 жастағы екі бүлдіршін түсті.,Семейде жұқпалы аурулар ауруханасына 4 жасар екі бала серозды менингит диагнозымен түсті.,83.35,0.5610793712972372,0.5610793712972372
Білім беру мекемесі толтырылған өтініш формасын беруге және IND-ке төлем төлеуге жауапты болады.,Білім беру мекемесі толтырылған өтінім нысанын тапсыруға және IND жарналарын төлеуге жауапты болады.,75.78,0.6746688671415897,0.6746688671415897
Барлығының міндеті — санитарлық эпидемиологиялық талапты күшейту.,Барлығының міндеті — санитарлық-эпидемиологиялық талаптарды күшейту.,41.68,0.8969094845615845,0.8969094845615845
Қазақстан Республикасының көмірсутектерді сатып алуға арналған басым құқығын іске асыру тәртібін Қазақстан Республикасының Үкіметі айқындайды.,Қазақстан Республикасының көмірсутектерді сатып алуға басым құқығын іске асыру тәртібін Қазақстан Республикасының Үкіметі айқындайды.,40.0,0.9279642890579882,0.9279642890579882
